fact_id,module,entity,metric,totaal,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,max_ratio,jump_period,query_ref,verified_at
INSTR-YOY-UP-001,instrumenten,Prorail B.V.,yoy_increase,12272597000,1753369000,1834267000,4043280000,1940455000,21000,22000,22000,2691199000,9962000,122327.227272727,2022-2023,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-002,instrumenten,Centraal Orgaan opvang asielzoekers (COA),yoy_increase,4531035000,1115249000,868401000,0,0,0,0,25000,2547197000,163000,101887.88,2022-2023,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-003,instrumenten,Stichting Openbaar Onderwijs Zwolle en Regio,yoy_increase,615790000,0,0,2000,92352000,0,102794000,125159000,148221000,147262000,46176.0,2018-2019,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-004,instrumenten,Raad voor de rechtspraak,yoy_increase,5871680000,0,0,37000,1075954000,1077097000,1161916000,1230171000,1326342000,163000,29079.8378378378,2018-2019,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-005,instrumenten,Gemeente Noardeast-Fryslân,yoy_increase,563788000,0,0,0,0,8000,128470000,131179000,154294000,149837000,16058.75,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-006,instrumenten,Nederlandse organisatie voor wetenschappelijk onderzoek (NWO),yoy_increase,1935895000,56044000,794998000,275000,0,0,1023797000,5000,60751000,25000,12150.2,2022-2023,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-007,instrumenten,Stichting Spinoza Lyceum Amsterdam,yoy_increase,113541000,1000,9222000,10988000,12537000,0,17053000,19787000,21603000,22350000,9222.0,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-008,instrumenten,Stichting Hogeschool van Amsterdam,yoy_increase,2467281000,796000,257533000,295119000,305736000,45000,374557000,417663000,402947000,412885000,8323.48888888889,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-009,instrumenten,ROC van Twente,yoy_increase,162993000,13000,0,5000,23000,160331000,180000,160000,0,2281000,6970.91304347826,2019-2020,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-010,instrumenten,Sociale Verzekeringsbank,yoy_increase,114262130000,0,0,2906000,3708000,4078000,27714867000,24287208000,25651893000,36597470000,6796.19102501226,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-011,instrumenten,Onderwijsstichting Zelfstandige Gym,yoy_increase,102511000,5000,32325000,34333000,35848000,0,0,0,0,0,6465.0,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-012,instrumenten,Stichting Meer Primair,yoy_increase,261295000,4000,25669000,28636000,29931000,30436000,32487000,37699000,38533000,37900000,6417.25,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-013,instrumenten,Mondriaan Fonds,yoy_increase,305225000,4000,25568000,26970000,42735000,67237000,80180000,62531000,0,0,6392.0,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-014,instrumenten,ZonMw,yoy_increase,474250000,0,179000,704000,16000,52000,1327000,79000,82000,471811000,5753.79268292683,2023-2024,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-015,instrumenten,Gemeente Súdwest-Fryslân,yoy_increase,887328000,0,0,0,0,38000,194476000,210706000,240008000,242100000,5117.78947368421,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-016,instrumenten,"Stichting Codarts, Hogeschool voor de Kunsten",yoy_increase,140070000,0,0,5000,23572000,0,26721000,28534000,29784000,31454000,4714.4,2018-2019,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-017,instrumenten,Gemeente Bodegraven-Reeuwijk,yoy_increase,269015000,0,0,0,0,13000,57087000,62042000,75605000,74268000,4391.30769230769,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-018,instrumenten,Nederlandse organisatie voor,yoy_increase,2698839000,0,0,0,0,0,0,305000,1304592000,1393942000,4277.35081967213,2022-2023,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-019,instrumenten,Gemeente Hengelo,yoy_increase,858083000,54000,16000,0,0,53000,183946000,196687000,252285000,225042000,3470.67924528302,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-020,instrumenten,GGD regio Utrecht,yoy_increase,242131000,0,0,0,60000,52000,178065000,75000,41514000,22365000,3424.32692307692,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-021,instrumenten,Stichting Proo Noord-Veluwe,yoy_increase,146821000,5000,14359000,15655000,16613000,16883000,17631000,21385000,22411000,21879000,2871.8,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-022,instrumenten,Stichting Hogeschool Rotterdam,yoy_increase,1980639000,1548000,197905000,238163000,254011000,261639000,323791000,356776000,126000,346680000,2751.42857142857,2023-2024,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-023,instrumenten,Gemeente Alkmaar,yoy_increase,1374736000,-13000,15000,0,35000,113000,306541000,330181000,369473000,368391000,2712.75221238938,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-024,instrumenten,Stichting Filios Scholengroep,yoy_increase,202103000,6000,15345000,17680000,18705000,19492000,21411000,35600000,36758000,37106000,2557.5,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-025,instrumenten,Gemeente Oost Gelre,yoy_increase,281633000,0,0,0,0,28000,69046000,62195000,74692000,75672000,2465.92857142857,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-026,instrumenten,TenneT TSO B.V.,yoy_increase,1105213000,849000,0,0,43000,105159000,159029000,211975000,300873000,327285000,2445.55813953488,2019-2020,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-027,instrumenten,Ministerie van Financien,yoy_increase,16964954000,0,0,1897000,3997025000,4295632000,4311919000,4298863000,0,59618000,2107.02424881392,2018-2019,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-028,instrumenten,Sticht. A'damse Hogeschool voor de,yoy_increase,110160000,25000,51136000,58999000,0,0,0,0,0,0,2045.44,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-029,instrumenten,Onderwijsstichting Arcade,yoy_increase,178359000,9000,16987000,19454000,21900000,20810000,21361000,26224000,26240000,25374000,1887.44444444444,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-030,instrumenten,Stichting De Waarden,yoy_increase,152386000,8000,15010000,16907000,17674000,18093000,19153000,21904000,21778000,21859000,1876.25,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-031,instrumenten,Stadhuis,yoy_increase,222506000,0,955000,4000,7324000,871000,6528000,99327000,0,107497000,1831.0,2018-2019,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-032,instrumenten,Vandebron Energie B.V.,yoy_increase,122908000,0,0,445000,291000,142000,40000,65973000,56017000,0,1649.325,2021-2022,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-033,instrumenten,Particulieren ontvangers,yoy_increase,335516000,0,0,0,35659000,67960000,100713000,83000,131101000,0,1579.53012048193,2022-2023,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-034,instrumenten,Stichting Katholieke Universiteit Brabant,yoy_increase,835282000,11000,0,0,0,120000,175108000,206269000,222425000,231349000,1459.23333333333,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-035,instrumenten,Zorginstituut Nederland,yoy_increase,71007222000,0,0,0,0,0,14567492000,24503000,32129157000,24286070000,1311.23360404848,2022-2023,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-036,instrumenten,Stichting ArtEZ,yoy_increase,451877000,33000,42990000,49382000,51089000,52591000,60028000,62318000,65119000,68327000,1302.72727272727,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-037,instrumenten,Bisschop Möller Stichting,yoy_increase,326754000,25000,30199000,34803000,37203000,38296000,41116000,47440000,48994000,48678000,1207.96,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-038,instrumenten,Stichting Heliomare Onderwijs,yoy_increase,218083000,20000,20747000,23146000,22971000,25201000,26733000,30920000,32916000,35429000,1037.35,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-039,instrumenten,Stichting VU,yoy_increase,623573000,249000,218000,322000,2167000,4016000,890000,593000,611562000,3556000,1031.3018549747,2022-2023,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-040,instrumenten,"Stichting ROC Leiden, Centr. Educ.",yoy_increase,104338000,57000,56838000,47443000,0,0,0,0,0,0,997.157894736842,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-041,instrumenten,Gemeente Eindhoven,yoy_increase,3324318000,-4000,16000,0,10000,9950000,802547000,750213000,897670000,863916000,995.0,2019-2020,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-042,instrumenten,Nederlandse Zorgautoriteit,yoy_increase,142902000,0,0,0,0,68000,66133000,0,76701000,0,972.544117647059,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-043,instrumenten,Stichting Openbaar onderwijs Baasis,yoy_increase,124635000,14000,13138000,15014000,15890000,0,17709000,20555000,21132000,21183000,938.428571428571,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-044,instrumenten,Stichting Kempenhaeghe,yoy_increase,162634000,16000,14792000,17325000,18416000,19471000,20456000,23269000,24312000,24577000,924.5,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-045,instrumenten,Gemeente Haarlem,yoy_increase,2042913000,0,0,0,10000,9131000,468712000,467281000,548644000,549135000,913.1,2019-2020,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-046,instrumenten,"Stichting Fortior,",yoy_increase,141895000,15000,13168000,14823000,15524000,15772000,17429000,21093000,21892000,22179000,877.866666666667,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-047,instrumenten,Gemeente Delft,yoy_increase,1377839000,13000,13000,0,10000,8538000,312499000,313843000,382097000,360826000,853.8,2019-2020,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-048,instrumenten,Gemeente Vught,yoy_increase,283317000,80000,67000,0,72000,76000,62017000,62242000,76315000,82448000,816.013157894737,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-049,instrumenten,Stichting Arlanta,yoy_increase,146670000,13000,10528000,11820000,25282000,17679000,18433000,20808000,21054000,21053000,809.846153846154,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-050,instrumenten,Stichting IJsselgraaf,yoy_increase,166703000,22000,17635000,19274000,19612000,19491000,20177000,23172000,23002000,24318000,801.590909090909,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-051,instrumenten,Stichting Un1ek Onderwijs,yoy_increase,256463000,28000,22343000,25446000,27436000,29034000,32445000,39299000,40182000,40250000,797.964285714286,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-052,instrumenten,De Vrije school Noord en Oost Nederland,yoy_increase,125541000,0,23000,18087000,19087000,76000,20704000,22449000,22860000,22255000,786.391304347826,2017-2018,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-053,instrumenten,Stichting Best Onderwijs,yoy_increase,113113000,14000,10822000,12182000,12910000,13171000,13905000,16451000,16577000,17081000,773.0,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-054,instrumenten,Stichting Hogeschool van Arnhem en Nijmegen,yoy_increase,1521324000,0,7000,307000,236914000,0,302207000,330175000,328673000,323041000,771.70684039088,2018-2019,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-055,instrumenten,Gemeente Voorst,yoy_increase,216832000,0,55000,0,62000,71000,53739000,49446000,55270000,58189000,756.887323943662,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-056,instrumenten,Het College van Bestuur van de Radb,yoy_increase,758290000,486000,363105000,394699000,0,0,0,0,0,0,747.12962962963,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-057,instrumenten,Gemeente Teylingen,yoy_increase,281155000,60000,82000,0,82000,86000,61262000,64668000,77596000,77319000,712.348837209302,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-058,instrumenten,Maastricht University,yoy_increase,1851966000,2136000,453000,321617000,340559000,352749000,397432000,437020000,0,0,709.971302428256,2017-2018,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-059,instrumenten,Stichting Sint Josephscholen,yoy_increase,197651000,27000,18179000,20919000,21965000,22802000,24552000,28933000,30243000,30031000,673.296296296296,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-060,instrumenten,Gemeente Leusden,yoy_increase,238786000,36000,55000,0,64000,71000,47714000,60815000,64724000,65307000,672.028169014084,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-061,instrumenten,Stichting Viviani,yoy_increase,109253000,18000,11952000,12885000,12864000,12629000,13000000,15088000,15435000,15382000,664.0,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-062,instrumenten,Gemeente Deventer,yoy_increase,1330116000,18000,19000,0,0,466000,305654000,295774000,364311000,363874000,655.909871244635,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-063,instrumenten,Gemeente Dinkelland,yoy_increase,206756000,24000,55000,0,63000,72000,46491000,48422000,55502000,56127000,645.708333333333,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-064,instrumenten,Stichting Dynamiek Scholengroep,yoy_increase,149923000,27000,17324000,19161000,19815000,409000,21006000,23997000,23872000,24312000,641.62962962963,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-065,instrumenten,Provincie Fryslân,yoy_increase,1244320000,0,48000,0,0,398000,249447000,227443000,299822000,467162000,626.751256281407,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-066,instrumenten,Gemeente Westerveld,yoy_increase,194937000,12000,44000,0,63000,70000,43639000,45750000,51304000,54055000,623.414285714286,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-067,instrumenten,Stichting Leerrijk!,yoy_increase,162142000,25000,15503000,17508000,18262000,18670000,20151000,23342000,24092000,24589000,620.12,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-068,instrumenten,Stichting Klasse,yoy_increase,200445000,28000,17249000,19572000,20901000,21817000,24242000,29985000,32676000,33975000,616.035714285714,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-069,instrumenten,Gemeente Heemstede,yoy_increase,198177000,0,1000,0,60000,72000,43139000,47044000,54115000,53746000,599.152777777778,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-070,instrumenten,Stichting Onderwijsgroep Tilburg,yoy_increase,634126000,146000,86151000,98241000,100004000,3535000,106822000,111956000,123022000,4249000,590.075342465753,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-071,instrumenten,Stichting Conexus,yoy_increase,467658000,72000,42396000,49159000,52109000,53154000,58507000,68804000,72568000,70889000,588.833333333333,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-072,instrumenten,Gemeente Zoetermeer,yoy_increase,1361895000,15000,1000,0,110000,513000,300705000,316207000,382662000,361682000,586.169590643275,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-073,instrumenten,Stichting Blick Op Onderwijs,yoy_increase,243535000,42000,24583000,27114000,27735000,27957000,30663000,35375000,35801000,34265000,585.309523809524,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-074,instrumenten,Dienst Publiek en Communicatie (DPC),yoy_increase,142036000,25433000,26481000,52000,30317000,6380000,5678000,10142000,22235000,15318000,583.019230769231,2018-2019,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-075,instrumenten,Gemeente Heiloo,yoy_increase,175827000,0,0,0,55000,66000,38112000,40726000,47753000,49115000,577.454545454545,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-076,instrumenten,Stichting Hoger Beroepsonderwijs Haaglanden,yoy_increase,420711000,0,0,9000,5000,0,152000,365000,209187000,210993000,573.115068493151,2022-2023,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-077,instrumenten,Stichting Vrijescholen Athena,yoy_increase,149114000,22000,12415000,15083000,16548000,17443000,18858000,22484000,22812000,23449000,564.318181818182,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-078,instrumenten,Stichting Kopwerk,yoy_increase,176287000,28000,15482000,17588000,18503000,19268000,24043000,26522000,27574000,27279000,552.928571428571,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-079,instrumenten,Stichting Waerdenborch,yoy_increase,147383000,34000,18597000,18247000,18568000,17460000,18812000,18630000,18376000,18659000,546.970588235294,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-080,instrumenten,Gemeente Oegstgeest,yoy_increase,185154000,12000,44000,0,62000,71000,38311000,45102000,50501000,51051000,539.591549295775,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-081,instrumenten,Stichting Xpect Primair,yoy_increase,273139000,59000,31762000,35912000,37853000,45893000,56075000,61818000,0,3767000,538.338983050847,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-082,instrumenten,Gemeente Waterland,yoy_increase,158402000,0,0,0,55000,65000,34787000,37649000,41233000,44613000,535.184615384615,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-083,instrumenten,Stichting Hoger Onderwijs Nederland,yoy_increase,1479566000,524000,145984000,161986000,172695000,428000,228904000,258818000,255594000,254633000,534.822429906542,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-084,instrumenten,Gemeente Tubbergen,yoy_increase,163730000,36000,55000,0,74000,70000,36951000,38349000,43534000,44661000,527.871428571429,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-085,instrumenten,Stichting ARCHIPEL SCHOLEN,yoy_increase,154187000,28000,14706000,16803000,17678000,17669000,18678000,22434000,23293000,22898000,525.214285714286,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-086,instrumenten,Wageningen University,yoy_increase,1677305000,0,409000,213058000,227145000,0,272610000,302169000,323414000,338500000,520.924205378973,2017-2018,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-087,instrumenten,Gemeente Ommen,yoy_increase,194331000,24000,55000,0,74000,82000,41653000,42407000,56204000,53832000,507.963414634146,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-088,instrumenten,Stichting Aves,yoy_increase,288736000,35000,17720000,20251000,52141000,33153000,35108000,42479000,43271000,44578000,506.285714285714,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-089,instrumenten,Gemeente Den Haag,yoy_increase,769861000,2210000,265000,0,1299000,952000,471584000,4280000,229567000,59704000,495.361344537815,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-090,instrumenten,Gemeente Wierden,yoy_increase,201540000,36000,55000,0,64000,87000,42987000,45886000,56077000,56348000,494.103448275862,2020-2021,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-091,instrumenten,Stichting Vrijescholen Ithaka,yoy_increase,133224000,21000,10335000,12691000,14199000,15022000,17017000,21237000,20067000,22635000,492.142857142857,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-092,instrumenten,Stichting Kath. Onderw. Flevoland-V,yoy_increase,200916000,67000,32012000,37283000,39179000,0,42308000,50067000,0,0,477.791044776119,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-093,instrumenten,Stichting Openbaar Primair Onderwij,yoy_increase,164521000,266000,126385000,37870000,0,0,0,0,0,0,475.131578947368,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-094,instrumenten,Stichting Sarkon,yoy_increase,201975000,43000,20284000,22370000,23180000,23530000,25126000,28944000,29016000,29482000,471.720930232558,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-095,instrumenten,Stichting Unicoz onderwijsgroep,yoy_increase,504988000,105000,47981000,55270000,60178000,1915000,74642000,84567000,89530000,90800000,456.961904761905,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-096,instrumenten,Stichting Biezonderwijs,yoy_increase,273608000,51000,22631000,26656000,28653000,30681000,33340000,41207000,44511000,45878000,443.745098039216,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-097,instrumenten,Stg. Kath. Ondernemersonderw. te Ti,yoy_increase,216035000,148000,65517000,75910000,74460000,0,0,0,0,0,442.682432432432,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-098,instrumenten,Stichting 'Het Rijnlands Lyceum',yoy_increase,351608000,97000,42834000,49957000,55864000,0,62570000,68128000,72158000,0,441.587628865979,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-099,instrumenten,Stichting Viertaal,yoy_increase,329233000,69000,30460000,34823000,36305000,38377000,40852000,48311000,48565000,51471000,441.449275362319,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
INSTR-YOY-UP-100,instrumenten,Stichting V.O. Amsterdam-Zuid,yoy_increase,211067000,47000,20735000,23043000,24546000,24980000,27880000,28848000,30456000,30532000,441.170212765957,2016-2017,Q-INSTR-02,2026-03-02T19:28:34Z
